entity;paidDate
816bcad8f58a;2019-05-13
816bcad8f58a;2019-07-04
816bcad8f58a;2019-05-14
816bcad8f58a;2019-05-07
816bcad8f58a;2019-05-08
816bcad8f58a;2019-05-22
816bcad8f58a;2019-05-22
816bcad8f58a;2019-05-15
816bcad8f58a;2019-05-13
816bcad8f58a;2019-05-21
816bcad8f58a;2019-05-14
816bcad8f58a;2019-05-14
816bcad8f58a;2019-05-15
816bcad8f58a;2019-05-16
816bcad8f58a;2019-05-15
816bcad8f58a;2019-05-17
816bcad8f58a;2019-05-17
816bcad8f58a;2019-05-17
816bcad8f58a;2019-05-20
816bcad8f58a;2019-05-21
816bcad8f58a;2019-06-08
816bcad8f58a;2019-05-28
816bcad8f58a;2019-05-25
816bcad8f58a;2019-05-24
816bcad8f58a;2019-05-24
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-27
816bcad8f58a;2019-05-31
816bcad8f58a;2019-05-28
816bcad8f58a;2019-05-28
816bcad8f58a;2019-05-27
816bcad8f58a;2019-05-28
816bcad8f58a;2019-05-28
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-31
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-29
816bcad8f58a;2019-05-29
816bcad8f58a;2019-05-31
816bcad8f58a;2019-05-29
816bcad8f58a;2019-06-14
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-30
816bcad8f58a;2019-05-31
816bcad8f58a;2019-06-03
816bcad8f58a;2019-06-06
816bcad8f58a;2019-06-03
816bcad8f58a;2019-06-05
816bcad8f58a;2019-06-03
816bcad8f58a;2019-06-06
816bcad8f58a;2019-06-04
816bcad8f58a;2019-06-05
816bcad8f58a;2019-06-04
816bcad8f58a;2019-06-05
816bcad8f58a;2019-06-06
816bcad8f58a;2019-06-05
816bcad8f58a;2019-06-06
816bcad8f58a;2019-06-06
816bcad8f58a;2019-06-08
816bcad8f58a;2019-06-07
816bcad8f58a;2019-06-13
816bcad8f58a;2019-06-13
816bcad8f58a;2019-06-11
816bcad8f58a;2019-06-13
816bcad8f58a;2019-07-24
816bcad8f58a;2019-06-17
816bcad8f58a;2019-06-18
816bcad8f58a;2019-06-17
816bcad8f58a;2019-06-18
816bcad8f58a;2019-06-21
816bcad8f58a;2019-06-19
816bcad8f58a;2019-06-19
816bcad8f58a;2019-06-25
816bcad8f58a;2019-06-28
816bcad8f58a;2019-06-21
816bcad8f58a;2019-06-25
816bcad8f58a;2019-07-03
816bcad8f58a;2019-07-01
816bcad8f58a;2019-06-25
816bcad8f58a;2019-06-25
816bcad8f58a;2019-06-26
816bcad8f58a;2019-06-28
816bcad8f58a;2019-07-17
816bcad8f58a;2019-06-26
816bcad8f58a;2019-06-27
816bcad8f58a;2019-06-26
816bcad8f58a;2019-06-27
816bcad8f58a;2019-06-27
816bcad8f58a;2019-06-28
816bcad8f58a;2019-07-04
816bcad8f58a;2019-07-02
816bcad8f58a;2019-07-03
816bcad8f58a;2019-07-08
816bcad8f58a;2019-07-03
816bcad8f58a;2019-07-05
816bcad8f58a;2019-07-08
816bcad8f58a;2019-07-08
816bcad8f58a;2019-07-11
816bcad8f58a;2019-07-12
816bcad8f58a;2019-07-10
816bcad8f58a;2019-07-11
816bcad8f58a;2019-07-11
816bcad8f58a;2019-07-12
816bcad8f58a;2019-07-15
816bcad8f58a;2019-07-17
816bcad8f58a;2019-07-12
816bcad8f58a;2019-07-15
816bcad8f58a;2019-07-15
816bcad8f58a;2019-07-15
816bcad8f58a;2019-07-16
816bcad8f58a;2019-07-16
816bcad8f58a;2019-07-16
816bcad8f58a;2019-07-17
816bcad8f58a;2019-07-18
816bcad8f58a;2019-07-17
816bcad8f58a;2019-08-13
816bcad8f58a;2019-07-19
816bcad8f58a;2019-07-29
816bcad8f58a;2019-07-23
816bcad8f58a;2019-07-18
816bcad8f58a;2019-07-22
816bcad8f58a;2019-07-22
816bcad8f58a;2019-07-21
816bcad8f58a;2019-07-22
816bcad8f58a;2019-07-22
816bcad8f58a;2019-07-23
816bcad8f58a;2019-07-24
816bcad8f58a;2019-07-31
816bcad8f58a;2019-07-26
816bcad8f58a;2019-07-25
816bcad8f58a;2019-07-25
816bcad8f58a;2019-07-29
816bcad8f58a;2019-07-29
816bcad8f58a;2019-07-31
816bcad8f58a;2019-07-31
816bcad8f58a;2019-08-01
816bcad8f58a;2019-08-02
816bcad8f58a;2019-08-06
816bcad8f58a;2019-08-07
816bcad8f58a;2019-08-08
816bcad8f58a;2019-08-09
816bcad8f58a;2019-09-18
816bcad8f58a;2019-08-09
816bcad8f58a;2019-08-12
816bcad8f58a;2019-08-12
816bcad8f58a;2019-08-16
816bcad8f58a;2019-08-19
816bcad8f58a;2019-08-15
816bcad8f58a;2019-08-16
816bcad8f58a;2019-08-15
816bcad8f58a;2019-08-16
816bcad8f58a;2019-08-19
816bcad8f58a;2019-08-19
816bcad8f58a;2019-08-20
816bcad8f58a;2019-10-14
816bcad8f58a;2019-08-26
816bcad8f58a;2019-11-06
816bcad8f58a;2019-08-20
816bcad8f58a;2019-08-21
816bcad8f58a;2019-08-22
816bcad8f58a;2019-08-22
816bcad8f58a;2019-08-23
816bcad8f58a;2019-08-26
816bcad8f58a;2019-08-27
816bcad8f58a;2019-08-29
816bcad8f58a;2019-08-27
816bcad8f58a;2019-08-28
816bcad8f58a;2019-08-29
816bcad8f58a;2019-08-27
816bcad8f58a;2019-08-28
816bcad8f58a;2019-08-27
816bcad8f58a;2019-08-29
816bcad8f58a;2019-09-17
816bcad8f58a;2019-09-02
816bcad8f58a;2019-09-03
816bcad8f58a;2019-08-29
816bcad8f58a;2019-09-02
816bcad8f58a;2019-09-02
816bcad8f58a;2019-09-03
816bcad8f58a;2019-09-03
816bcad8f58a;2019-09-05
816bcad8f58a;2019-09-03
816bcad8f58a;2019-09-04
816bcad8f58a;2019-09-09
816bcad8f58a;2019-09-06
816bcad8f58a;2019-09-06
816bcad8f58a;2019-09-09
816bcad8f58a;2019-09-10
816bcad8f58a;2019-09-10
816bcad8f58a;2019-09-10
816bcad8f58a;2019-09-10
816bcad8f58a;2019-09-11
816bcad8f58a;2019-09-20
816bcad8f58a;2019-09-16
816bcad8f58a;2019-09-12
816bcad8f58a;2019-09-13
816bcad8f58a;2019-09-17
816bcad8f58a;2019-09-17
816bcad8f58a;2019-09-28
816bcad8f58a;2019-09-18
816bcad8f58a;2019-09-19
816bcad8f58a;2019-09-19
816bcad8f58a;2019-09-19
816bcad8f58a;2019-09-23
816bcad8f58a;2019-09-23
816bcad8f58a;2019-11-12
816bcad8f58a;2019-09-24
816bcad8f58a;2019-09-25
816bcad8f58a;2019-09-25
816bcad8f58a;2019-09-25
816bcad8f58a;2019-09-26
816bcad8f58a;2019-09-27
816bcad8f58a;2019-09-30
816bcad8f58a;2019-09-30
816bcad8f58a;2019-09-30
816bcad8f58a;2019-10-10
816bcad8f58a;2019-10-04
816bcad8f58a;2019-10-03
816bcad8f58a;2019-10-04
816bcad8f58a;2019-10-02
816bcad8f58a;2019-10-03
816bcad8f58a;2019-10-03
816bcad8f58a;2019-10-04
816bcad8f58a;2019-10-07
816bcad8f58a;2019-10-09
816bcad8f58a;2019-10-09
816bcad8f58a;2020-02-10
816bcad8f58a;2019-10-09
816bcad8f58a;2019-10-09
816bcad8f58a;2019-10-09
816bcad8f58a;2019-10-09
816bcad8f58a;2019-10-09
816bcad8f58a;2019-10-09
816bcad8f58a;2019-10-10
816bcad8f58a;2019-10-11
816bcad8f58a;2019-10-10
816bcad8f58a;2019-10-18
816bcad8f58a;2019-10-15
816bcad8f58a;2019-10-11
816bcad8f58a;2019-10-14
816bcad8f58a;2019-10-17
816bcad8f58a;2019-10-18
816bcad8f58a;2019-10-21
816bcad8f58a;2019-10-22
816bcad8f58a;2019-10-23
816bcad8f58a;2019-10-22
816bcad8f58a;2019-10-22
816bcad8f58a;2019-10-23
816bcad8f58a;2019-11-06
816bcad8f58a;2019-10-28
816bcad8f58a;2019-11-14
816bcad8f58a;2019-11-01
816bcad8f58a;2019-10-31
816bcad8f58a;2019-10-31
816bcad8f58a;2019-11-05
816bcad8f58a;2019-10-31
816bcad8f58a;2019-11-13
816bcad8f58a;2019-11-08
816bcad8f58a;2019-11-11
816bcad8f58a;2019-11-11
816bcad8f58a;2019-11-08
816bcad8f58a;2019-11-12
816bcad8f58a;2019-11-11
816bcad8f58a;2019-11-25
816bcad8f58a;2019-11-20
816bcad8f58a;2019-11-15
816bcad8f58a;2019-11-13
816bcad8f58a;2019-11-27
816bcad8f58a;2019-11-15
